,Unnamed: 0,X [s],Avanti sensor 1: EMG 1 [V],Avanti sensor 2: EMG 2 [V],Avanti sensor 3: EMG 3 [V],Avanti sensor 4: EMG 4 [V],Avanti sensor 5: EMG 5 [V],Avanti sensor 6: EMG 6 [V],Avanti sensor 7: EMG 7 [V],Avanti sensor 8: EMG 8 [V],Avanti sensor 9: EMG 9 [V],Avanti sensor 10: EMG 10 [V]
44990,44990,35.7274,-1.10781e-05,-1.49386e-05,-2.23239e-05,-2.40024e-05,-6.54612e-06,-8.22461e-06,7.21752e-06,1.04067e-05,-1.67849e-07,-7.72107e-06
44991,44991,35.7281,-1.42672e-05,-1.98062e-05,-2.03098e-05,-3.37377e-05,-1.98062e-05,-8.22461e-06,6.04257e-06,7.21752e-06,-7.21752e-06,-8.56031e-06
44992,44992,35.7289,-1.561e-05,-2.06455e-05,-1.8967e-05,-3.60876e-05,-2.60166e-05,-9.73526e-06,6.54612e-06,7.72107e-06,-6.54612e-06,-3.86053e-06
44993,44993,35.7297,-1.67849e-05,-2.06455e-05,-2.04776e-05,-5.05226e-05,-2.23239e-05,-9.56741e-06,6.88182e-06,4.86763e-06,1.17494e-06,2.51774e-06
44994,44994,35.7305,-1.76242e-05,-2.3331e-05,-2.29953e-05,-4.95155e-05,-2.43381e-05,-8.22461e-06,7.21752e-06,-6.37827e-06,1.0071e-05,9.73526e-06
44995,44995,35.7313,-1.59457e-05,-1.79599e-05,-2.36667e-05,-3.47448e-05,-3.05486e-05,-5.53903e-06,6.21042e-06,-1.42672e-05,1.17494e-05,1.2253e-05
44996,44996,35.7321,-1.4435e-05,-1.15816e-05,-2.31632e-05,-2.14847e-05,-3.122e-05,-8.22461e-06,8.56031e-06,-2.03098e-05,1.39315e-05,1.32601e-05
44997,44997,35.7329,-1.79599e-05,-1.42672e-05,-2.19883e-05,-9.39956e-06,-3.32342e-05,-4.53193e-06,9.56741e-06,-2.70237e-05,7.88891e-06,1.15816e-05
44998,44998,35.7337,-1.84634e-05,-1.79599e-05,-1.86313e-05,1.67849e-07,-3.37377e-05,-1.67849e-07,9.56741e-06,-4.07874e-05,-5.03548e-07,7.21752e-06
44999,44999,35.7345,-1.29244e-05,-1.52743e-05,-1.561e-05,2.51774e-06,-3.02129e-05,-3.86053e-06,1.0071e-05,-4.95155e-05,-4.53193e-06,7.21752e-06
